id,prompt,code_smells,complexity,action_keywords,domain,prompt_type,expected_token_depth,synthetic
long_method_basic_001,"Write a Python function to process customer orders that validates input, calculates totals, applies discounts, updates inventory, generates invoice, sends confirmation email, and logs the transaction.",Long Method,basic,Recommend,E-commerce,generation,low,False
long_method_basic_002,"Write a Python function for user registration that validates email format, checks password strength, verifies username availability, creates user record, sends welcome email, initializes user preferences, and logs registration event.",Long Method,basic,Analyze,Finance,generation,low,False
long_method_basic_003,"Write a Python function to handle file uploads that validates file type, checks file size, scans for viruses, generates unique filename, stores file, creates database record, and sends notification.",Long Method,basic,Report,Healthcare,generation,low,False
long_method_basic_004,"Write a Python function for report generation that queries database, filters records, performs calculations, formats data, generates charts, compiles PDF, and emails to recipients.",Long Method,basic,Measure,Scientific Computing,generation,low,False
long_method_basic_005,"Write a Python function to process payment that validates card details, checks account balance, applies fees, processes transaction, updates ledger, generates receipt, and sends confirmation.",Long Method,basic,Measure,General Software,generation,low,False
long_method_basic_006,"Write a Python function for inventory management that checks stock levels, calculates reorder points, generates purchase orders, updates supplier records, logs changes, and sends alerts.",Long Method,basic,Write,E-commerce,generation,low,False
long_method_basic_007,"Write a Python function to handle customer complaints that validates ticket, categorizes issue, assigns priority, routes to agent, sends acknowledgment, logs interaction, and updates CRM.",Long Method,basic,Recommend,Finance,generation,low,False
long_method_intermediate_001,"Write a comprehensive data ETL pipeline function that reads from multiple CSV sources, cleans and normalizes data, performs aggregations, handles missing values, validates against schema, transforms for target format, and exports to database.",Long Method,intermediate,Implement;Recommend,Healthcare,generation,medium,False
long_method_intermediate_002,"Write a Python function for e-commerce checkout that handles cart validation, inventory reservation, shipping calculation, tax computation, payment processing, order creation, email notification, and analytics tracking.",Long Method,intermediate,Design;Compare,Scientific Computing,generation,medium,False
long_method_intermediate_003,"Write a Python function for loan application processing that validates applicant info, pulls credit reports, calculates risk scores, determines rates, generates documents, submits for approval, and notifies applicant.",Long Method,intermediate,Analyze;Design,General Software,generation,medium,False
long_method_intermediate_004,"Write a Python function for clinical trial data processing that validates patient records, checks eligibility, randomizes assignments, tracks adverse events, generates safety reports, and submits to regulatory database.",Long Method,intermediate,Recommend;Measure,E-commerce,generation,medium,False
long_method_intermediate_005,"Write a Python function for scientific experiment logging that captures sensor readings, validates data ranges, applies calibration, stores measurements, generates visualizations, and exports to research database.",Long Method,intermediate,Measure;Implement,Finance,generation,medium,False
long_method_intermediate_006,"Write a Python function for multi-tenant user provisioning that validates organization, creates accounts, assigns roles, configures permissions, initializes workspaces, sends invitations, and logs audit trail.",Long Method,intermediate,Design;Analyze,Healthcare,generation,medium,False
long_method_intermediate_007,"Write a comprehensive data ETL pipeline function that reads from multiple CSV sources, cleans and normalizes data, performs aggregations, handles missing values, validates against schema, transforms for target format, and exports to database.",Long Method,intermediate,Implement;Measure,Scientific Computing,generation,medium,False
long_method_advanced_001,"Design and implement a complete patient record processing system as a single function that handles admission, diagnosis coding, treatment planning, insurance verification, billing calculation, appointment scheduling, prescription management, and discharge documentation.",Long Method,advanced,Implement;Compare;Measure,General Software,generation,high,False
long_method_advanced_002,"Write a comprehensive financial portfolio rebalancing function that analyzes current holdings, calculates target allocations, identifies trades needed, checks tax implications, validates against compliance rules, executes orders, updates records, and generates reports.",Long Method,advanced,Evaluate;Report;Analyze,E-commerce,generation,high,False
long_method_advanced_003,"Write an end-to-end machine learning pipeline function that loads data, performs feature engineering, trains multiple models, evaluates performance, selects best model, deploys to production, monitors predictions, and retrains on drift.",Long Method,advanced,Write;Compare;List,Finance,generation,high,False
long_method_advanced_004,"Write a comprehensive supply chain optimization function that forecasts demand, optimizes inventory levels, plans production schedules, coordinates logistics, manages supplier relationships, tracks shipments, and generates performance dashboards.",Long Method,advanced,Report;Write;Measure,Healthcare,generation,high,False
long_method_advanced_005,"Write a complete healthcare claims adjudication function that validates claim format, verifies member eligibility, checks provider credentials, applies coverage rules, calculates payments, handles appeals, generates EOBs, and updates financial records.",Long Method,advanced,List;Recommend;Implement,Scientific Computing,generation,high,False
long_method_advanced_006,"Write a comprehensive trading system function that receives market data, calculates indicators, generates signals, manages risk, executes orders, handles partial fills, reconciles positions, and produces compliance reports.",Long Method,advanced,Compare;Recommend;List,General Software,generation,high,False
long_parameter_list_basic_001,"Write a Python function create_user(username, email, password, first_name, last_name, phone, address, city, state, zip_code, country, birth_date, gender) that creates a new user account.",Long Parameter List,basic,List,E-commerce,generation,low,False
long_parameter_list_basic_002,"Write a Python function send_email(recipient, sender, subject, body, cc, bcc, reply_to, priority, attachments, tracking_id, template_id) that sends formatted emails.",Long Parameter List,basic,Design,Finance,generation,low,False
long_parameter_list_basic_003,"Write a Python function calculate_shipping(weight, length, width, height, origin_zip, dest_zip, carrier, service_type, insurance, signature_required, hazmat) that computes shipping cost.",Long Parameter List,basic,Report,Healthcare,generation,low,False
long_parameter_list_basic_004,"Write a Python function create_invoice(customer_id, items, tax_rate, discount_code, payment_terms, due_date, currency, notes, template, recurring, auto_send) that generates invoices.",Long Parameter List,basic,Analyze,Scientific Computing,generation,low,False
long_parameter_list_basic_005,"Write a Python function search_products(query, category, min_price, max_price, brand, color, size, rating, in_stock, sort_by, page, per_page) that searches product catalog.",Long Parameter List,basic,Evaluate,General Software,generation,low,False
long_parameter_list_basic_006,"Write a Python function create_appointment(patient_id, provider_id, date, time, duration, type, location, notes, reminder, insurance_id, copay) that schedules appointments.",Long Parameter List,basic,Implement,E-commerce,generation,low,False
long_parameter_list_basic_007,"Write a Python function generate_report(report_type, start_date, end_date, filters, grouping, metrics, format, recipients, schedule, timezone, include_charts) that creates reports.",Long Parameter List,basic,Recommend,Finance,generation,low,False
long_parameter_list_intermediate_001,"Write a Python function configure_server(hostname, port, ssl_enabled, ssl_cert, ssl_key, max_connections, timeout, buffer_size, log_level, log_path, cache_enabled, cache_size, cache_ttl, auth_required, auth_provider) that sets up server configuration.",Long Parameter List,intermediate,Compare;Recommend,Healthcare,generation,medium,False
long_parameter_list_intermediate_002,"Write a Python function process_transaction(transaction_id, account_from, account_to, amount, currency, exchange_rate, fee_type, fee_amount, description, category, tags, recurring, schedule, notify_sender, notify_recipient, compliance_check) that handles financial transactions.",Long Parameter List,intermediate,Implement;Report,Scientific Computing,generation,medium,False
long_parameter_list_intermediate_003,"Write a Python function create_clinical_study(study_name, protocol_id, sponsor, investigators, sites, start_date, end_date, enrollment_target, inclusion_criteria, exclusion_criteria, endpoints, randomization, blinding, data_management, monitoring_plan, regulatory_status) that initializes a clinical trial.",Long Parameter List,intermediate,Design;List,General Software,generation,medium,False
long_parameter_list_intermediate_004,"Write a Python function configure_analysis(data_source, variables, transformations, filters, aggregations, statistical_tests, confidence_level, corrections, output_format, visualizations, export_path, validation_rules, missing_data_handling, outlier_treatment) that sets up statistical analysis.",Long Parameter List,intermediate,Design;Measure,E-commerce,generation,medium,False
